date,Visits
1/22/2025,57
1/23/2025,55
1/24/2025,86
1/27/2025,72
1/28/2025,66
1/29/2025,62
1/30/2025,85
1/31/2025,90
2/3/2025,82
2/4/2025,74
2/5/2025,63
2/6/2025,56
2/7/2025,67
2/10/2025,88
2/11/2025,88
2/12/2025,85
2/13/2025,57
2/14/2025,62
2/17/2025,26
2/18/2025,113
2/19/2025,90
2/20/2025,84
2/21/2025,97
2/24/2025,96
2/25/2025,76
2/26/2025,91
2/27/2025,81
2/28/2025,109
3/3/2025,83
3/4/2025,43
3/5/2025,69
3/6/2025,60
3/7/2025,71
3/10/2025,81
3/11/2025,64
3/12/2025,56
3/13/2025,57
3/14/2025,55
3/17/2025,52
3/18/2025,39
3/19/2025,49
3/20/2025,67
3/21/2025,81
3/24/2025,93
3/25/2025,61
3/26/2025,69
3/27/2025,58
3/28/2025,58
3/31/2025,83
4/1/2025,68
4/2/2025,57
4/3/2025,80
4/4/2025,88
4/7/2025,78
4/8/2025,64
4/9/2025,69
4/10/2025,71
4/11/2025,71
4/14/2025,88
4/15/2025,76
4/16/2025,55
4/17/2025,58
4/21/2025,78
4/22/2025,98
4/23/2025,53
4/24/2025,63
4/25/2025,97
4/28/2025,103
4/29/2025,69
4/30/2025,76
5/1/2025,65
5/2/2025,91
5/5/2025,171
5/6/2025,160
5/7/2025,154
5/8/2025,162
5/9/2025,168
5/12/2025,115
5/13/2025,213
5/14/2025,83
5/15/2025,123
5/16/2025,118
