interval,call_count
8/14/2023 8:00,7
8/14/2023 8:15,7
8/14/2023 8:30,7
8/14/2023 8:45,7
8/14/2023 9:00,8
8/14/2023 9:15,2
8/14/2023 9:30,5
8/14/2023 9:45,3
8/14/2023 10:00,2
8/14/2023 10:15,4
