interval,call_count
8/14/2023 8:00,14
8/14/2023 8:30,14
8/14/2023 9:00,10
8/14/2023 9:30,8
8/14/2023 10:00,6
8/14/2023 10:30,19
8/14/2023 11:00,9
8/14/2023 11:30,10
8/14/2023 12:00,7
8/14/2023 12:30,17
